ACI,AutoDESK,Berechnet,Ermittelt,Color Name,RGB
124,"0.0000,0.5000,0.3750","0,127,95","0,154,115",aquamarine-medium,"rgb(0, 127, 95)"
125,"0.2500,0.5000,0.4375","63,127,111","74,154,132",aquamarine-soft,"rgb(63, 127, 111)"
126,"0.0000,0.3000,0.2250","0,76,57","0,125,90",aquamarine-deep,"rgb(0, 76, 57)"
127,"0.1500,0.3000,0.2625","38,76,66","57,125,107",aquamarine-pale,"rgb(38, 76, 66)"
128,"0.0000,0.1500,0.1125","0,38,28","0,77,57",aquamarine-dark,"rgb(0, 38, 28)"
129,"0.0750,0.1500,0.1313","19,38,33","33,77,66",aquamarine-dusky,"rgb(19, 38, 33)"
130,"0.0000,1.0000,1.0000","0,255,255","0,255,255",cyan,"rgb(0, 255, 255)"
131,"0.5000,1.0000,1.0000","127,255,255","123,255,255",cyan-light,"rgb(127, 255, 255)"
132,"0.0000,0.6500,0.6500","0,165,165","0,207,206",cyan-strong,"rgb(0, 165, 165)"
133,"0.3250,0.6500,0.6500","82,165,165","99,207,206",cyan-muted,"rgb(82, 165, 165)"
134,"0.0000,0.5000,0.5000","0,127,127","0,154,156",cyan-medium,"rgb(0, 127, 127)"
135,"0.2500,0.5000,0.5000","63,127,127","74,154,156",cyan-soft,"rgb(63, 127, 127)"
136,"0.0000,0.3000,0.3000","0,76,76","0,125,123",cyan-deep,"rgb(0, 76, 76)"
137,"0.1500,0.3000,0.3000","38,76,76","57,125,123",cyan-pale,"rgb(38, 76, 76)"
138,"0.0000,0.1500,0.1500","0,38,38","0,77,74",cyan-dark,"rgb(0, 38, 38)"
139,"0.0750,0.1500,0.1500","19,38,38","33,77,74",cyan-dusky,"rgb(19, 38, 38)"
140,"0.0000,0.7500,1.0000","0,191,255","0,190,255",azure,"rgb(0, 191, 255)"
141,"0.5000,0.8750,1.0000","127,223,255","123,223,255",azure-light,"rgb(127, 223, 255)"
142,"0.0000,0.4875,0.6500","0,124,165","0,154,206",azure-strong,"rgb(0, 124, 165)"
143,"0.3250,0.5688,0.6500","82,145,165","99,178,206",azure-muted,"rgb(82, 145, 165)"
144,"0.0000,0.3750,0.5000","0,95,127","0,113,156",azure-medium,"rgb(0, 95, 127)"
145,"0.2500,0.4375,0.5000","63,111,127","74,13,156",azure-soft,"rgb(63, 111, 127)"
146,"0.0000,0.2250,0.3000","0,57,76","0,93,123",azure-deep,"rgb(0, 57, 76)"
147,"0.1500,0.2625,0.3000","38,66,76","57,109,123",azure-pale,"rgb(38, 66, 76)"
148,"0.0000,0.1125,0.1500","0,28,38","0,56,74",azure-dark,"rgb(0, 28, 38)"
149,"0.0750,0.1313,0.1500","19,33,38","33,65,74",azure-dusky,"rgb(19, 33, 38)"
150,"0.0000,0.5000,1.0000","0,127,255","0,125,255",cerulean,"rgb(0, 127, 255)"
151,"0.5000,0.7500,1.0000","127,191,255","123,190,255",cerulean-light,"rgb(127, 191, 255)"
152,"0.0000,0.3250,0.6500","0,82,165","0,101,206",cerulean-strong,"rgb(0, 82, 165)"
153,"0.3250,0.4875,0.6500","82,124,165","99,154,206",cerulean-muted,"rgb(82, 124, 165)"
154,"0.0000,0.2500,0.5000","0,63,127","0,77,156",cerulean-medium,"rgb(0, 63, 127)"
155,"0.2500,0.3750,0.5000","63,95,127","74,113,156",cerulean-soft,"rgb(63, 95, 127)"
156,"0.0000,0.1500,0.3000","0,38,76","0,60,123",cerulean-deep,"rgb(0, 38, 76)"
157,"0.1500,0.2250,0.3000","38,57,76","57,93,123",cerulean-pale,"rgb(38, 57, 76)"
158,"0.0000,0.0750,0.1500","0,19,38","0,36,74",cerulean-dark,"rgb(0, 19, 38)"
159,"0.0750,0.1125,0.1500","19,28,38","33,56,74",cerulean-dusky,"rgb(19, 28, 38)"
160,"0.0000,0.2500,1.0000","0,63,255","0,60,255",indigo,"rgb(0, 63, 255)"
161,"0.5000,0.6250,1.0000","127,159,255","123,158,255",indigo-light,"rgb(127, 159, 255)"
162,"0.0000,0.1625,0.6500","0,41,165","0,48,206",indigo-strong,"rgb(0, 41, 165)"
163,"0.3250,0.4063,0.6500","82,103,165","99,125,206",indigo-muted,"rgb(82, 103, 165)"
164,"0.0000,0.1250,0.5000","0,31,127","0,36,156",indigo-medium,"rgb(0, 31, 127)"
165,"0.2500,0.3125,0.5000","63,79,127","74,93,156",indigo-soft,"rgb(63, 79, 127)"
